10, Yohan BLAKE, 86, Jamaica, 1, carrera 100 m, 1, tiempo, 1, Torneo de Afghanistan, 1, Kabul, 1, Afghanistan
10, Yohan BLAKE, 86, Jamaica, 1, carrera 100 m, 1, tiempo, 2, Torneo de Albania, 2, Tirana, 2, Albania
10, Yohan BLAKE, 86, Jamaica, 1, carrera 100 m, 1, tiempo, 3, Torneo de Algeria, 3, Algiers, 3, Algeria
10, Yohan BLAKE, 86, Jamaica, 1, carrera 100 m, 1, tiempo, 4, Torneo de Andorra, 4, Andorra la Vella, 4, Andorra
10, Yohan BLAKE, 86, Jamaica, 1, carrera 100 m, 1, tiempo, 5, Torneo de Angola, 5, Luanda, 5, Angola
10, Yohan BLAKE, 86, Jamaica, 1, carrera 100 m, 1, tiempo, 6, Torneo de Antigua and Barbuda, 6, Saint Johns, 6, Antigua and Barbuda
10, Yohan BLAKE, 86, Jamaica, 1, carrera 100 m, 1, tiempo, 7, Torneo de Argentina, 7, Buenos Aires, 7, Argentina
10, Yohan BLAKE, 86, Jamaica, 1, carrera 100 m, 1, tiempo, 8, Torneo de Armenia, 8, Yerevan, 8, Armenia
10, Yohan BLAKE, 86, Jamaica, 1, carrera 100 m, 1, tiempo, 9, Torneo de Australia, 9, Canberra, 9, Australia
10, Yohan BLAKE, 86, Jamaica, 1, carrera 100 m, 1, tiempo, 10, Torneo de Austria, 10, Vienna, 10, Austria
10, Yohan BLAKE, 86, Jamaica, 1, carrera 100 m, 1, tiempo, 11, Torneo de Azerbaijan, 11, Baku, 11, Azerbaijan
10, Yohan BLAKE, 86, Jamaica, 1, carrera 100 m, 1, tiempo, 12, Torneo de Bahamas, 12, Nassau, 12, Bahamas
10, Yohan BLAKE, 86, Jamaica, 1, carrera 100 m, 1, tiempo, 13, Torneo de Bahrain, 13, Manama, 13, Bahrain
10, Yohan BLAKE, 86, Jamaica, 1, carrera 100 m, 1, tiempo, 14, Torneo de Bangladesh, 14, Dhaka, 14, Bangladesh
