Aleia HOBBS, carrera 100 m, Torneo de Namibia, 1, 9760;
Aleia HOBBS, carrera 100 m, Torneo de Haiti, 1, 10736;
Beatrice CHEPKOECH, carrera 5000 m, Torneo de Ghana, 1, 772231;
Beatrice CHEPKOECH, carrera 5000 m, Torneo de Dominican Republic, 1, 848797;
Tajay GAYLE, salto largo, Torneo de Saint Vincent and the Grenadines, 6, 955;
Tajay GAYLE, salto largo, Torneo de Papua New Guinea, 6, 869;
Sifan HASSAN, carrera 10000 m, Torneo de Fiji, 1, 1608968;
Sifan HASSAN, carrera 10000 m, Torneo de Syria, 1, 1766874;
Maykel MASSÓ, salto largo, Torneo de Argentina, 6, 956;
Maykel MASSÓ, salto largo, Torneo de South Korea, 10, 869;
Yelena SOKOLOVA, salto largo, Torneo de Austria, 2, 956;
Yelena SOKOLOVA, salto largo, Torneo de Slovakia, 6, 869;
Mutaz Essa BARSHIM, salto de altura, Torneo de Iceland, 3, 261;
Mutaz Essa BARSHIM, salto de altura, Torneo de Vatican City, 4, 237;
Huihui LYU, lanzamiento de jabalina, Torneo de Liberia, 10, 9959;
Huihui LYU, lanzamiento de jabalina, Torneo de Bolivia, 9, 9063;
Ilya IVANYUK, salto de altura, Torneo de Argentina, 7, 261;
Ilya IVANYUK, salto de altura, Torneo de United Kingdom, 6, 237;
Bob BERTEMES, lanzamiento de bala, Torneo de United Arab Emirates, 1, 2521;
Bob BERTEMES, lanzamiento de bala, Torneo de Virgin Islands (British), 5, 2292;
Emily Cherotich TUEI, carrera 800 m, Torneo de Myanmar, 1, 101999;
Emily Cherotich TUEI, carrera 800 m, Torneo de Bahamas, 1, 112070;
Dharun AYYASAMY, carrera 400 m con vallas, Torneo de Malawi, 1, 46102;
Dharun AYYASAMY, carrera 400 m con vallas, Torneo de South Africa, 1, 50696;
Rhonex KIPRUTO, carrera 10000 m, Torneo de Israel, 1, 1608528;
Rhonex KIPRUTO, carrera 10000 m, Torneo de Gabon, 1, 1768742;
Caterine IBARGUEN, salto triple, Torneo de Angola, 7, 1995;
Caterine IBARGUEN, salto triple, Torneo de Laos, 1, 1814;
Rachel FATHERLY, lanzamiento de bala, Torneo de Congo Republic of the, 9, 2519;
Rachel FATHERLY, lanzamiento de bala, Torneo de Papua New Guinea, 3, 2291;
Dina ASHER-SMITH, carrera 100 m, Torneo de Congo Democratic Republic of the, 1, 9766;
Dina ASHER-SMITH, carrera 100 m, Torneo de Finland, 1, 10728;
Tonea MARSHALL, carrera 110 m con vallas, Torneo de Papua New Guinea, 1, 12100;
Tonea MARSHALL, carrera 110 m con vallas, Torneo de Georgia, 1, 13286;
Abubaker Haydar ABDALLA, carrera 800 m, Torneo de Yemen, 1, 101895;
Abubaker Haydar ABDALLA, carrera 800 m, Torneo de Colombia, 1, 112075;
Kristin GIERISCH, salto triple, Torneo de Bulgaria, 10, 1996;
Kristin GIERISCH, salto triple, Torneo de Kyrgyzstan, 4, 1814;
Thea LAFOND, salto triple, Torneo de Congo Democratic Republic of the, 5, 1996;
Thea LAFOND, salto triple, Torneo de Belgium, 10, 1814;
Matthew CENTROWITZ, carrera 5000 m, Torneo de Nicaragua, 1, 772861;
Matthew CENTROWITZ, carrera 5000 m, Torneo de Grenada, 1, 849217;
Sergey SHUBENKOV, carrera 110 m con vallas, Torneo de Cuba, 1, 12113;
Sergey SHUBENKOV, carrera 110 m con vallas, Torneo de Mauritius, 1, 13308;
Cyprian MRZYGŁÓD, lanzamiento de jabalina, Torneo de Northern Ireland, 3, 9964;
Cyprian MRZYGŁÓD, lanzamiento de jabalina, Torneo de France, 2, 9068;
Christine BOTLOGETSWE, carrera 400 m, Torneo de Australia, 1, 43471;
Christine BOTLOGETSWE, carrera 400 m, Torneo de Cambodia, 1, 47791;
Vashti CUNNINGHAM, salto de altura, Torneo de Belarus, 10, 261;
Vashti CUNNINGHAM, salto de altura, Torneo de Vatican City, 4, 237;
Vivian J. CHERUIYOT, carrera 21000 m, Torneo de Bangladesh, 1, 3484087;
Vivian J. CHERUIYOT, carrera 21000 m, Torneo de Turkey, 1, 3827707;
Shunya TAKAYAMA, carrera 110 m con vallas, Torneo de Laos, 1, 12102;
Shunya TAKAYAMA, carrera 110 m con vallas, Torneo de Bosnia and Herzegovina, 1, 13308;
Alysha NEWMAN, salto con pertiga, Torneo de Kenya, 3, 667;
Alysha NEWMAN, salto con pertiga, Torneo de Uganda, 10, 606;
Simon PETTERSSON, lanzamiento de disco, Torneo de Vietnam, 8, 7898;
Simon PETTERSSON, lanzamiento de disco, Torneo de Tanzania, 3, 7192;
Reece PRESCOD, carrera 100 m, Torneo de Niger, 1, 9762;
Reece PRESCOD, carrera 100 m, Torneo de Libya, 1, 10733;
Mare DIBABA, carrera 42000 m, Torneo de Mozambique, 1, 7302469;
Mare DIBABA, carrera 42000 m, Torneo de Grenada, 1, 8025541;
Rudy WINKLER, lanzamiento de martillo, Torneo de Eritrea, 2, 8991;
Rudy WINKLER, lanzamiento de martillo, Torneo de Nepal, 8, 8174;
Yelena PANOVA, lanzamiento de disco, Torneo de United Arab Emirates, 5, 7904;
Yelena PANOVA, lanzamiento de disco, Torneo de Albania, 8, 7186;
Dafne SCHIPPERS, carrera 200 m, Torneo de United Kingdom, 1, 19501;
Dafne SCHIPPERS, carrera 200 m, Torneo de Dominican Republic, 1, 21444;
Leonard LANGAT, carrera 21000 m, Torneo de Greece, 1, 3481507;
Leonard LANGAT, carrera 21000 m, Torneo de Zimbabwe, 1, 3827462;
Katarina JOHNSON-THOMPSON, salto largo, Torneo de Gambia, 7, 955;
Katarina JOHNSON-THOMPSON, salto largo, Torneo de Iceland, 10, 869;
Phyllis FRANCIS, carrera 400 m, Torneo de Lithuania, 1, 43450;
Phyllis FRANCIS, carrera 400 m, Torneo de Serbia, 1, 47792;
Steven GARDINER, carrera 200 m, Torneo de Georgia, 1, 19504;
Steven GARDINER, carrera 200 m, Torneo de Gambia, 1, 21450;
Tynia GAITHER, carrera 100 m, Torneo de Kyrgyzstan, 1, 9760;
Tynia GAITHER, carrera 100 m, Torneo de Dominican Republic, 1, 10735;
Tatsiana KHALADOVICH, lanzamiento de jabalina, Torneo de Serbia, 6, 9962;
Tatsiana KHALADOVICH, lanzamiento de jabalina, Torneo de Grenada, 1, 9064;
Ronald KWEMOI, carrera 1500 m, Torneo de Denmark, 1, 209025;
Ronald KWEMOI, carrera 1500 m, Torneo de Qatar, 1, 229584;
Ajee WILSON, carrera 800 m, Torneo de Angola, 1, 101983;
Ajee WILSON, carrera 800 m, Torneo de Japan, 1, 112078;
Luvo MANYONGA, salto largo, Torneo de Dominican Republic, 10, 956;
Luvo MANYONGA, salto largo, Torneo de Guatemala, 10, 869;
Keturah ORJI, salto triple, Torneo de Gabon, 10, 1996;
Keturah ORJI, salto triple, Torneo de France, 4, 1814;
Kimberly WILLIAMS, salto triple, Torneo de Cuba, 4, 1996;
Kimberly WILLIAMS, salto triple, Torneo de Tuvalu, 3, 1814;
Hilary KPATCHA, salto largo, Torneo de Canada, 2, 956;
Hilary KPATCHA, salto largo, Torneo de Vanuatu, 3, 869;
Michaela MEIJER, salto con pertiga, Torneo de Austria, 6, 667;
Michaela MEIJER, salto con pertiga, Torneo de Tuvalu, 8, 606;
Dezerea BRYANT, carrera 200 m, Torneo de Cameroon, 1, 19532;
Dezerea BRYANT, carrera 200 m, Torneo de Congo Republic of the, 1, 21426;
Netsanet GUDETA, carrera 10000 m, Torneo de Argentina, 1, 1609354;
Netsanet GUDETA, carrera 10000 m, Torneo de Monaco, 1, 1768375;
Benjamin KIGEN, carrera 3000 m con vallas, Torneo de Sweden, 1, 481168;
Benjamin KIGEN, carrera 3000 m con vallas, Torneo de Kazakhstan, 1, 528889;
Kendra HARRISON, carrera 110 m con vallas, Torneo de Eritrea, 1, 12100;
Kendra HARRISON, carrera 110 m con vallas, Torneo de New Zealand, 1, 13308;
Xinyue SU, lanzamiento de disco, Torneo de Mauritania, 3, 7904;
Xinyue SU, lanzamiento de disco, Torneo de Puerto Rico, 5, 7197;
Zeineba YIMER, carrera 42000 m, Torneo de Ecuador, 1, 7301146;
Zeineba YIMER, carrera 42000 m, Torneo de Azerbaijan, 1, 8030030;
Sarah MCDONALD, carrera 1500 m, Torneo de Peru, 1, 208794;
Sarah MCDONALD, carrera 1500 m, Torneo de Serbia, 1, 229428;
Takatoshi ABE, carrera 400 m con vallas, Torneo de Bulgaria, 1, 46116;
Takatoshi ABE, carrera 400 m con vallas, Torneo de Finland, 1, 50692;
Tina ŠUTEJ, salto con pertiga, Torneo de Brunei, 5, 667;
Tina ŠUTEJ, salto con pertiga, Torneo de Trinidad and Tobago, 10, 606;
Katie NAGEOTTE, salto con pertiga, Torneo de Australia, 3, 667;
Katie NAGEOTTE, salto con pertiga, Torneo de Saint Kitts and Nevis, 4, 606;
Titus EKIRU, carrera 42000 m, Torneo de Bahrain, 1, 7303429;
Titus EKIRU, carrera 42000 m, Torneo de Luxembourg, 1, 8026434;
Paweł FAJDEK, lanzamiento de martillo, Torneo de Central African Republic, 6, 8988;
Paweł FAJDEK, lanzamiento de martillo, Torneo de Comoros, 1, 8174;
Janeah STEWART, lanzamiento de martillo, Torneo de New Zealand, 10, 8992;
Janeah STEWART, lanzamiento de martillo, Torneo de Hungary, 2, 8179;
Nicholas Kipkorir KIMELI, carrera 5000 m, Torneo de Andorra, 1, 772709;
Nicholas Kipkorir KIMELI, carrera 5000 m, Torneo de Austria, 1, 849023;
Lina MUZE, lanzamiento de jabalina, Torneo de Albania, 3, 9963;
Lina MUZE, lanzamiento de jabalina, Torneo de Burkina Faso, 8, 9072;
Lawrence Kemboi KIPSANG, carrera 3000 m con vallas, Torneo de Mauritania, 1, 481452;
Lawrence Kemboi KIPSANG, carrera 3000 m con vallas, Torneo de Benin, 1, 528660;
Aliona DUBITSKAYA, lanzamiento de bala, Torneo de South Sudan, 4, 2513;
Aliona DUBITSKAYA, lanzamiento de bala, Torneo de Vatican City, 3, 2291;
Quentin BIGOT, lanzamiento de martillo, Torneo de Thailand, 5, 8986;
Quentin BIGOT, lanzamiento de martillo, Torneo de Malawi, 2, 8182;
Shericka JACKSON, carrera 400 m, Torneo de Sweden, 1, 43501;
Shericka JACKSON, carrera 400 m, Torneo de Gambia, 1, 47762;
Tia-Adana BELLE, carrera 400 m con vallas, Torneo de Central African Republic, 1, 46202;
Tia-Adana BELLE, carrera 400 m con vallas, Torneo de Gabon, 1, 50660;
Iryna GERASHCHENKO, salto de altura, Torneo de Afghanistan, 2, 261;
Iryna GERASHCHENKO, salto de altura, Torneo de Saudi Arabia, 7, 237;
Wyclife KINYAMAL, carrera 800 m, Torneo de Vanuatu, 1, 101920;
Wyclife KINYAMAL, carrera 800 m, Torneo de Cuba, 1, 111991;
Keshorn WALCOTT, lanzamiento de jabalina, Torneo de Marshall Islands, 9, 9959;
Keshorn WALCOTT, lanzamiento de jabalina, Torneo de Scotland, 2, 9061;
